Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_48_24.csv,0.5,0.50π,1.0,10000.0,100,100,0.9991871298511015,0.008223347391830001
alpha_0.50pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_46_50.csv,0.5,0.50π,1.0,25000.0,100,100,0.9996803783143101,0.005156513611154662
alpha_1.00pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_57_41.csv,1.0,1.00π,1.0,20000.0,100,100,0.9989709201175949,0.004473572842725954
alpha_0.75pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_54_05.csv,0.75,0.75π,1.0,5000.0,100,100,0.9969511579205699,0.011455463390312257
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_23_03_52.csv,1.25,1.25π,1.0,10000.0,100,100,0.9985535849478949,0.00789026633705412
alpha_0.25pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_40_37.csv,0.25,0.25π,1.0,35000.0,100,100,0.9995820839010721,0.004241209714320851
alpha_0.00pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_35_27.csv,0.0,0.00π,1.0,35000.0,100,100,0.9994164772773725,0.0033686729975102568
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_38_05.csv,0.0,0.00π,1.0,10000.0,100,100,0.9979144474853039,0.00636854957971953
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_42_43.csv,0.25,0.25π,1.0,15000.0,100,100,0.9989945312198506,0.006578539579522444
alpha_0.25pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_40_04.csv,0.25,0.25π,1.0,40000.0,100,100,0.9996247765360406,0.004018742604157483
alpha_0.50pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_45_46.csv,0.5,0.50π,1.0,35000.0,100,100,0.9997659145597192,0.004412911833819725
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_47_53.csv,0.5,0.50π,1.0,15000.0,100,100,0.9994600194273506,0.006702350216402323
alpha_0.00pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_36_31.csv,0.0,0.00π,1.0,25000.0,100,100,0.9991806888778872,0.003991667834398593
alpha_0.00pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_37_02.csv,0.0,0.00π,1.0,20000.0,100,100,0.9989870841796411,0.004438299918128017
alpha_1.25pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_23_00_10.csv,1.25,1.25π,1.0,45000.0,100,100,0.9996700637054895,0.0037684281829448644
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_53_03.csv,0.75,0.75π,1.0,15000.0,100,100,0.9990009615786659,0.006557469695041037
alpha_0.25pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_43_45.csv,0.25,0.25π,1.0,5000.0,100,100,0.9970892713203535,0.011192988545852205
alpha_0.75pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_50_56.csv,0.75,0.75π,1.0,35000.0,100,100,0.9995722375473083,0.00429088156437671
alpha_0.00pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_34_23.csv,0.0,0.00π,1.0,45000.0,100,100,0.9995583461575391,0.002930697378269299
alpha_0.50pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_47_22.csv,0.5,0.50π,1.0,20000.0,100,100,0.9995918159640146,0.005827282294539825
alpha_0.75pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_52_32.csv,0.75,0.75π,1.0,20000.0,100,100,0.9992227329449435,0.005784027204411529
